anno_01,anno_02,anno_03
certain,Missing,Missing
certain,other,other
certain,Missing,certain
certain,Missing,Missing
Missing,Missing,certain
certain,certain,Missing
certain,Missing,Missing
certain,Missing,certain
other,certain,other
Missing,certain,Missing
certain,other,other
certain,certain,certain
Missing,Missing,certain
Missing,Missing,certain
certain,certain,Missing
certain,Missing,Missing
Missing,certain,certain
certain,certain,Missing
certain,Missing,Missing
certain,other,other
certain,other,certain
other,Missing,Missing
other,other,certain
other,other,Missing
other,other,certain
Missing,certain,certain
other,certain,certain
certain,Missing,Missing
certain,Missing,certain
Missing,Missing,certain
certain,certain,certain
Missing,Missing,certain
certain,Missing,Missing
certain,Missing,Missing
Missing,Missing,certain
certain,certain,certain
certain,Missing,certain
certain,Missing,Missing
certain,Missing,other
Missing,Missing,certain
certain,Missing,Missing
Missing,certain,Missing
certain,certain,certain
Missing,Missing,certain
Missing,Missing,certain
certain,Missing,certain
Missing,other,Missing
certain,Missing,Missing
certain,certain,certain
certain,Missing,other
certain,Missing,Missing
certain,certain,other
certain,Missing,Missing
certain,Missing,Missing
Missing,Missing,other
Missing,Missing,other
other,Missing,other
certain,Missing,other
certain,other,other
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
other,Missing,Missing
certain,certain,certain
Missing,Missing,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
Missing,Missing,other
certain,Missing,other
Missing,certain,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,Missing,Missing
certain,certain,Missing
Missing,certain,certain
Missing,certain,certain
Missing,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,other,other
other,other,other
other,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,Missing
certain,Missing,Missing
Missing,certain,certain
other,certain,other
certain,Missing,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
other,certain,other
certain,certain,certain
Missing,certain,Missing
certain,certain,certain
certain,certain,Missing
certain,Missing,Missing
Missing,certain,Missing
Missing,certain,Missing
certain,Missing,Missing
Missing,certain,certain
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,Missing,Missing
certain,certain,certain
Missing,certain,Missing
certain,certain,certain
certain,certain,certain
certain,certain,Missing
certain,certain,Missing
certain,other,other
certain,other,certain
Missing,certain,certain
certain,certain,certain
certain,Missing,Missing
Missing,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,certain,Missing
Missing,certain,Missing
certain,Missing,Missing
certain,Missing,Missing
Missing,certain,Missing
certain,Missing,certain
certain,certain,certain
certain,certain,certain
certain,other,other
certain,Missing,other
certain,other,certain
Missing,other,Missing
certain,certain,Missing
certain,certain,certain
certain,certain,other
certain,certain,certain
certain,Missing,certain
other,other,other
certain,certain,certain
certain,other,other
Missing,Missing,certain
certain,other,certain
Missing,Missing,certain
Missing,Missing,certain
certain,certain,certain
certain,Missing,certain
Missing,other,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,Missing,Missing
certain,certain,certain
Missing,certain,Missing
certain,Missing,certain
other,Missing,Missing
certain,Missing,Missing
certain,certain,certain
certain,Missing,Missing
certain,Missing,Missing
certain,certain,Missing
certain,certain,certain
certain,certain,Missing
certain,certain,certain
certain,Missing,Missing
Missing,certain,certain
certain,Missing,Missing
certain,other,certain
certain,certain,certain
Missing,Missing,certain
certain,certain,certain
Missing,certain,certain
certain,certain,other
other,other,other
other,other,other
certain,Missing,Missing
Missing,certain,certain
Missing,certain,Missing
certain,certain,Missing
Missing,Missing,certain
Missing,Missing,certain
Missing,certain,Missing
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,other
certain,Missing,Missing
certain,Missing,Missing
certain,certain,other
certain,certain,certain
certain,Missing,Missing
Missing,certain,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
Missing,certain,Missing
certain,Missing,Missing
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
Missing,certain,Missing
certain,Missing,certain
certain,Missing,Missing
certain,Missing,Missing
certain,other,certain
certain,other,certain
certain,Missing,Missing
certain,Missing,Missing
Missing,Missing,certain
Missing,Missing,certain
Missing,certain,Missing
Missing,certain,Missing
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
Missing,certain,certain
certain,Missing,Missing
Missing,Missing,certain
Missing,Missing,certain
certain,certain,Missing
certain,certain,certain
other,other,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,Missing
certain,certain,certain
Missing,certain,Missing
certain,Missing,Missing
Missing,certain,Missing
Missing,certain,Missing
Missing,Missing,certain
Missing,Missing,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
Missing,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,Missing,Missing
Missing,certain,certain
Missing,certain,Missing
certain,Missing,Missing
certain,Missing,certain
Missing,certain,certain
certain,certain,certain
Missing,Missing,certain
certain,certain,Missing
certain,certain,Missing
certain,Missing,Missing
certain,other,Missing
certain,certain,Missing
Missing,certain,Missing
certain,Missing,Missing
certain,certain,Missing
certain,certain,Missing
certain,certain,Missing
certain,Missing,Missing
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
Missing,certain,Missing
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,Missing
certain,certain,certain
Missing,certain,Missing
Missing,certain,Missing
certain,certain,certain
Missing,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,certain,Missing
Missing,Missing,certain
certain,certain,certain
certain,certain,certain
certain,Missing,certain
Missing,Missing,certain
Missing,certain,Missing
certain,certain,Missing
certain,certain,Missing
certain,certain,Missing
certain,Missing,Missing
Missing,certain,Missing
Missing,Missing,certain
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,Missing,Missing
certain,certain,Missing
certain,Missing,Missing
certain,certain,Missing
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,Missing
certain,certain,Missing
certain,certain,certain
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,certain
certain,Missing,Missing
Missing,certain,certain
certain,certain,certain
certain,certain,certain
Missing,certain,Missing
Missing,Missing,certain
certain,Missing,Missing
certain,certain,certain
certain,certain,Missing
Missing,Missing,certain
Missing,certain,certain
certain,certain,certain
Missing,certain,certain
Missing,Missing,certain
Missing,Missing,certain
Missing,certain,certain
Missing,certain,Missing
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,Missing,Missing
Missing,certain,certain
Missing,certain,certain
Missing,Missing,certain
certain,certain,certain
Missing,certain,certain
Missing,certain,certain
Missing,certain,Missing
other,Missing,Missing
other,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,other,other
Missing,certain,certain
Missing,Missing,other
certain,certain,certain
Missing,certain,certain
Missing,certain,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,Missing,Missing
Missing,certain,certain
Missing,Missing,certain
certain,Missing,Missing
certain,certain,certain
Missing,Missing,certain
certain,certain,certain
certain,Missing,certain
Missing,certain,Missing
Missing,Missing,certain
Missing,Missing,certain
certain,Missing,Missing
Missing,certain,Missing
Missing,Missing,certain
Missing,Missing,certain
Missing,Missing,certain
certain,Missing,Missing
other,Missing,Missing
Missing,certain,certain
Missing,Missing,certain
certain,certain,Missing
certain,certain,certain
certain,Missing,Missing
Missing,certain,Missing
certain,Missing,Missing
Missing,certain,Missing
Missing,Missing,certain
Missing,Missing,certain
Missing,certain,Missing
Missing,certain,certain
Missing,Missing,certain
Missing,certain,Missing
Missing,Missing,certain
Missing,Missing,certain
Missing,Missing,certain
certain,certain,Missing
certain,certain,certain
certain,certain,certain
other,other,Missing
certain,certain,certain
certain,certain,certain
certain,certain,Missing
Missing,Missing,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
Missing,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,Missing
Missing,Missing,certain
certain,certain,Missing
Missing,Missing,certain
certain,certain,certain
Missing,Missing,certain
Missing,Missing,certain
certain,certain,Missing
Missing,Missing,certain
certain,certain,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
other,other,other
other,certain,other
certain,other,other
other,Missing,Missing
other,certain,Missing
Missing,Missing,other
certain,certain,certain
Missing,Missing,certain
certain,certain,certain
Missing,certain,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
other,Missing,Missing
Missing,certain,certain
Missing,certain,certain
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,certain,Missing
Missing,certain,Missing
certain,certain,certain
other,certain,Missing
other,certain,certain
Missing,certain,Missing
other,Missing,Missing
certain,certain,certain
certain,certain,certain
Missing,certain,certain
certain,certain,certain
Missing,certain,Missing
other,certain,Missing
other,certain,Missing
Missing,certain,Missing
other,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,certain,certain
Missing,certain,certain
Missing,certain,Missing
certain,Missing,Missing
Missing,Missing,certain
certain,certain,certain
Missing,certain,other
Missing,certain,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
other,Missing,Missing
certain,certain,certain
certain,certain,Missing
other,certain,Missing
certain,certain,certain
certain,Missing,Missing
Missing,certain,certain
Missing,certain,certain
other,Missing,Missing
Missing,certain,certain
certain,certain,certain
certain,other,other
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,Missing
Missing,Missing,certain
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,Missing,Missing
certain,Missing,Missing
certain,other,certain
certain,Missing,Missing
other,Missing,Missing
certain,certain,certain
Missing,other,Missing
certain,certain,certain
certain,Missing,Missing
certain,certain,Missing
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,certain,Missing
certain,certain,Missing
certain,Missing,Missing
certain,Missing,certain
certain,Missing,Missing
certain,certain,certain
certain,Missing,Missing
Missing,certain,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,certain,certain
Missing,certain,Missing
other,other,Missing
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
Missing,certain,certain
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,certain,Missing
certain,certain,certain
other,other,other
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
Missing,certain,Missing
certain,Missing,Missing
Missing,certain,certain
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
Missing,certain,other
certain,Missing,Missing
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,Missing,Missing
Missing,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,Missing
certain,Missing,Missing
certain,Missing,Missing
Missing,certain,certain
other,other,other
certain,other,Missing
Missing,Missing,other
certain,other,other
certain,certain,Missing
certain,certain,certain
certain,Missing,Missing
certain,certain,Missing
other,Missing,Missing
certain,Missing,Missing
certain,other,certain
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,certain,Missing
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
Missing,Missing,certain
certain,Missing,certain
certain,certain,certain
certain,certain,Missing
Missing,certain,certain
certain,certain,certain
certain,Missing,certain
Missing,certain,Missing
certain,Missing,Missing
Missing,certain,certain
certain,Missing,Missing
certain,certain,certain
Missing,certain,Missing
certain,Missing,certain
certain,certain,certain
certain,certain,Missing
other,Missing,Missing
other,Missing,Missing
certain,Missing,Missing
certain,certain,other
certain,certain,certain
other,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,other,certain
certain,Missing,Missing
Missing,other,certain
certain,Missing,Missing
certain,other,certain
certain,Missing,Missing
certain,Missing,Missing
other,Missing,Missing
Missing,other,other
certain,Missing,Missing
certain,Missing,Missing
Missing,Missing,certain
Missing,Missing,certain
certain,certain,Missing
Missing,certain,other
other,Missing,Missing
certain,certain,Missing
Missing,certain,other
certain,certain,Missing
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,certain,Missing
certain,certain,certain
other,other,other
Missing,Missing,certain
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
other,Missing,Missing
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
other,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,Missing
Missing,certain,certain
certain,Missing,Missing
certain,Missing,Missing
certain,certain,other
Missing,Missing,other
Missing,certain,Missing
certain,certain,certain
certain,certain,certain
certain,Missing,certain
certain,Missing,Missing
Missing,certain,Missing
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
Missing,certain,certain
certain,certain,Missing
certain,certain,certain
certain,Missing,Missing
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,other
certain,Missing,Missing
Missing,certain,certain
certain,Missing,Missing
other,other,other
certain,other,certain
certain,certain,certain
certain,other,certain
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,Missing,Missing
other,other,other
other,certain,other
other,certain,other
certain,certain,certain
certain,certain,certain
other,Missing,Missing
certain,certain,certain
certain,Missing,Missing
Missing,other,other
certain,Missing,certain
certain,other,other
other,other,other
certain,certain,other
certain,other,other
certain,other,certain
certain,certain,certain
certain,other,other
certain,certain,certain
other,Missing,Missing
other,certain,other
certain,certain,other
certain,certain,Missing
Missing,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,Missing
Missing,Missing,other
certain,Missing,Missing
Missing,certain,certain
certain,certain,certain
certain,Missing,certain
Missing,certain,Missing
certain,certain,certain
certain,Missing,certain
Missing,certain,Missing
certain,certain,certain
certain,Missing,certain
Missing,certain,Missing
certain,certain,certain
certain,Missing,certain
Missing,certain,Missing
certain,certain,certain
certain,Missing,Missing
Missing,certain,certain
certain,Missing,Missing
Missing,certain,certain
certain,certain,certain
certain,certain,certain
Missing,Missing,certain
certain,other,certain
Missing,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
Missing,Missing,certain
certain,certain,other
certain,certain,certain
certain,certain,Missing
Missing,Missing,certain
other,Missing,Missing
other,other,other
other,Missing,Missing
Missing,other,certain
certain,Missing,Missing
certain,Missing,Missing
certain,Missing,Missing
certain,certain,certain
Missing,certain,certain
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,certain,other
certain,certain,certain
certain,certain,certain
other,certain,Missing
certain,Missing,Missing
certain,certain,certain
Missing,certain,certain
certain,certain,certain
Missing,certain,certain
certain,certain,certain
other,certain,certain
other,certain,Missing
other,Missing,Missing
certain,Missing,Missing
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,Missing
certain,Missing,Missing
certain,certain,certain
other,other,other
certain,certain,Missing
Missing,certain,Missing
Missing,Missing,other
Missing,other,Missing
other,Missing,Missing
certain,certain,certain
certain,certain,certain
other,Missing,Missing
certain,certain,certain
certain,Missing,Missing
Missing,certain,certain
certain,certain,certain
certain,certain,certain
Missing,certain,certain
Missing,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,certain,Missing
Missing,Missing,certain
certain,Missing,Missing
certain,certain,certain
other,Missing,Missing
Missing,other,Missing
certain,certain,certain
certain,certain,certain
certain,certain,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
other,Missing,Missing
other,Missing,Missing
other,Missing,Missing
other,Missing,Missing
certain,other,other
Missing,Missing,other
Missing,Missing,certain
certain,Missing,Missing
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,other
certain,certain,certain
certain,certain,certain
Missing,Missing,certain
other,Missing,Missing
other,certain,certain
certain,certain,certain
certain,Missing,Missing
certain,certain,Missing
Missing,Missing,certain
certain,Missing,Missing
certain,Missing,Missing
Missing,certain,other
other,Missing,Missing
certain,certain,certain
Missing,Missing,certain
certain,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,Missing,Missing
certain,Missing,Missing
Missing,certain,certain
Missing,certain,certain
Missing,certain,certain
certain,Missing,Missing
certain,Missing,Missing
Missing,certain,certain
certain,Missing,Missing
certain,certain,certain
Missing,certain,certain
certain,Missing,Missing
certain,Missing,Missing
certain,certain,Missing
certain,certain,Missing
other,Missing,Missing
Missing,certain,certain
certain,certain,certain
certain,certain,certain
Missing,Missing,certain
certain,certain,certain
certain,Missing,Missing
certain,certain,Missing
Missing,certain,certain
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
other,Missing,Missing
Missing,certain,Missing
certain,Missing,Missing
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,Missing,Missing
Missing,certain,other
certain,other,other
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
other,other,other
