anno_01,anno_02,anno_03
certain,certain,certain
certain,certain,
certain,,
,certain,certain
other,certain,other
certain,,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
other,certain,other
certain,certain,certain
,certain,
certain,certain,certain
certain,certain,
certain,,
,certain,
certain,,
,certain,certain
certain,certain,certain
certain,certain,certain
certain,,
certain,,
certain,certain,certain
,certain,
certain,certain,certain
certain,certain,certain
certain,certain,
certain,certain,
certain,other,other
certain,other,certain
,certain,certain
certain,certain,certain
certain,,
,certain,certain
certain,certain,certain
certain,,
certain,certain,certain
certain,certain,
,certain,
certain,,
certain,,
,certain,
certain,,certain
certain,certain,certain
certain,certain,certain
certain,other,other
certain,,other
certain,other,certain
certain,certain,
certain,certain,certain
certain,certain,other
certain,certain,certain
certain,,certain
other,other,other
certain,certain,certain
certain,other,other
,,certain
certain,other,certain
,,certain
,,certain
certain,certain,certain
certain,,certain
,other,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,,
certain,,
certain,certain,certain
,certain,
certain,,certain
other,,
certain,,
certain,certain,certain
certain,,
certain,,
certain,certain,
certain,certain,certain
certain,certain,
certain,certain,certain
certain,,
,certain,certain
certain,,
certain,other,certain
certain,certain,certain
,,certain
certain,certain,certain
,certain,certain
certain,certain,other
other,other,other
other,other,other
certain,,
,certain,certain
,certain,
certain,certain,certain
certain,certain,certain
certain,,
certain,certain,certain
certain,certain,certain
certain,,
certain,certain,certain
certain,,
certain,,
certain,,other
certain,,
certain,,
certain,certain,other
certain,certain,certain
certain,,
,certain,
certain,,
certain,,
certain,,
certain,,
,certain,
certain,,
certain,certain,certain
certain,,
certain,certain,certain
,certain,
certain,,certain
certain,,
certain,,
certain,other,certain
certain,other,certain
certain,,
certain,,
,,certain
,certain,
certain,,
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,,
,certain,certain
certain,,
,,certain
certain,certain,
certain,certain,certain
other,other,
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,
certain,certain,certain
certain,,
,certain,
,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,,
,certain,certain
certain,,
certain,certain,certain
certain,,
,certain,certain
,certain,
certain,,
certain,,certain
,certain,certain
certain,certain,certain
,,certain
certain,certain,
certain,certain,
certain,,
certain,other,
certain,certain,
certain,,
certain,certain,
certain,certain,
certain,certain,
certain,,
certain,certain,certain
certain,,
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,,
certain,,
certain,,
,certain,
certain,,
certain,certain,certain
certain,certain,certain
certain,certain,
certain,certain,certain
,certain,
certain,certain,certain
,certain,certain
certain,,
certain,certain,certain
certain,certain,
,,certain
certain,certain,certain
certain,certain,certain
certain,,certain
,,certain
,certain,
certain,certain,
certain,certain,
certain,certain,
certain,,
,certain,
,,certain
certain,certain,certain
certain,certain,certain
certain,,
certain,,
certain,certain,
certain,,
certain,certain,
certain,,
certain,certain,certain
certain,certain,certain
certain,certain,
certain,certain,
certain,certain,certain
certain,,
certain,,
certain,,certain
certain,,
,certain,certain
certain,certain,certain
certain,certain,certain
,certain,
certain,,
certain,certain,certain
certain,certain,
,,certain
,certain,certain
certain,certain,certain
,certain,certain
,,certain
,,certain
,certain,certain
,certain,
certain,,
certain,certain,certain
certain,certain,certain
certain,,
certain,,
,certain,certain
,certain,certain
,,certain
certain,certain,certain
,certain,certain
,certain,certain
,certain,
other,,
other,,
certain,certain,certain
certain,certain,certain
certain,other,other
,certain,certain
,,other
certain,certain,certain
,certain,certain
,certain,
certain,,
certain,,
certain,certain,certain
certain,certain,certain
certain,,
certain,certain,certain
certain,,
,certain,certain
certain,,
certain,certain,certain
,,certain
certain,certain,certain
certain,,certain
certain,certain,certain
,,certain
,,certain
,,certain
certain,,
other,,
,certain,certain
,,certain
certain,certain,
certain,certain,certain
certain,,
,certain,
certain,,
,certain,certain
,certain,certain
,,certain
,certain,
,,certain
,,certain
certain,certain,
certain,certain,certain
certain,certain,certain
other,other,
certain,certain,certain
certain,certain,certain
certain,certain,
,,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
,certain,certain
certain,,
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,
,,certain
certain,certain,
,,certain
certain,certain,certain
,,certain
,,certain
certain,certain,
,,certain
certain,certain,
certain,certain,certain
certain,certain,certain
certain,certain,certain
other,other,other
other,certain,other
certain,other,other
certain,certain,certain
other,,
other,certain,
,,other
certain,certain,certain
,certain,
certain,certain,certain
certain,certain,certain
certain,certain,certain
other,,
,certain,certain
,certain,certain
certain,,
certain,,
certain,,
certain,certain,
,certain,
certain,certain,certain
other,certain,
other,certain,certain
,certain,
other,,
certain,certain,certain
certain,certain,certain
,certain,certain
certain,certain,certain
,certain,
other,certain,
other,certain,
,certain,
other,,
certain,,
certain,,
certain,certain,certain
,certain,certain
certain,,
,,certain
certain,certain,certain
,certain,other
,certain,
certain,,
certain,,
certain,,
other,,
certain,certain,certain
certain,certain,
other,certain,
certain,certain,certain
certain,,
,certain,certain
,certain,certain
other,,
,certain,certain
certain,certain,certain
certain,other,other
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,
,,certain
certain,certain,certain
certain,certain,certain
certain,,
certain,certain,certain
certain,,
certain,,
certain,other,certain
certain,,
other,,
certain,certain,certain
,other,
certain,certain,certain
certain,,
certain,certain,
certain,certain,certain
certain,,
certain,certain,certain
certain,certain,
certain,certain,
certain,,
certain,,certain
certain,,
certain,certain,certain
certain,,
,certain,
certain,,
certain,,
certain,,
certain,,
certain,,
certain,,
certain,certain,certain
,certain,
other,other,
certain,,
certain,certain,certain
certain,certain,certain
certain,certain,certain
,certain,certain
certain,certain,certain
certain,certain,certain
certain,,
certain,certain,
certain,certain,certain
other,other,other
certain,,
certain,,
certain,,
certain,certain,certain
certain,certain,certain
,certain,
certain,,
,certain,certain
certain,,
certain,,
certain,,
,certain,other
certain,,
certain,certain,certain
certain,,
certain,certain,certain
certain,,
,certain,certain
certain,,
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,
certain,,
certain,,
,certain,certain
other,other,other
certain,other,
,,other
certain,other,other
certain,certain,
certain,certain,certain
certain,,
certain,certain,
other,,
certain,,
certain,other,certain
certain,,
certain,,
certain,,
certain,certain,
certain,,
certain,certain,certain
certain,certain,certain
,,certain
certain,,certain
certain,certain,certain
certain,certain,
,certain,certain
certain,certain,certain
certain,,certain
,certain,
certain,,
,certain,certain
certain,,
certain,certain,certain
,certain,
certain,,certain
certain,certain,certain
certain,certain,
other,,
other,,
certain,,
certain,certain,other
certain,certain,certain
other,,
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,other,certain
certain,,
,other,certain
certain,,
certain,other,certain
certain,,
certain,,
other,,
,other,other
certain,,
certain,,
,,certain
,,certain
certain,certain,
,certain,other
other,,
certain,certain,
,certain,other
certain,certain,
certain,,
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,,
certain,certain,
certain,certain,certain
other,other,other
,,certain
certain,,
certain,,
certain,,
certain,,
other,,
certain,certain,certain
certain,,
certain,certain,certain
other,,
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,
,certain,certain
certain,,
certain,,
certain,certain,other
,certain,
certain,certain,certain
certain,certain,certain
certain,,certain
certain,,
,certain,
certain,certain,certain
certain,,
certain,certain,certain
,certain,certain
certain,certain,
certain,certain,certain
certain,,
certain,,
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,other
certain,,
,certain,certain
certain,,
other,other,other
certain,other,certain
certain,certain,certain
certain,other,certain
certain,certain,certain
certain,,
certain,certain,certain
certain,certain,certain
certain,,
certain,certain,certain
certain,,
other,other,other
other,certain,other
other,certain,other
certain,certain,certain
certain,certain,certain
other,,
certain,certain,certain
certain,,
,other,other
certain,,certain
certain,other,other
other,other,other
certain,certain,other
certain,other,other
certain,other,certain
certain,certain,certain
certain,other,other
certain,certain,certain
other,,
other,certain,other
certain,certain,other
certain,certain,
,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,
,,other
certain,,
,certain,certain
certain,certain,certain
certain,,certain
,certain,
certain,certain,certain
certain,,certain
,certain,
certain,certain,certain
certain,,certain
,certain,
certain,certain,certain
certain,,certain
,certain,
certain,certain,certain
certain,,
,certain,certain
certain,,
,certain,certain
certain,certain,certain
certain,certain,certain
,,certain
certain,other,certain
,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,,
,,certain
certain,certain,other
certain,certain,certain
certain,certain,
,,certain
other,,
other,other,other
other,,
,other,certain
certain,,
certain,,
certain,,
certain,certain,certain
,certain,certain
certain,certain,certain
certain,certain,certain
certain,,
certain,certain,other
certain,certain,certain
certain,certain,certain
other,certain,
certain,,
certain,certain,certain
,certain,certain
certain,certain,certain
,certain,certain
certain,certain,certain
other,certain,certain
other,certain,
other,,
certain,,
certain,certain,certain
certain,,
certain,certain,certain
certain,certain,certain
certain,certain,
certain,,
certain,certain,certain
other,other,other
certain,certain,
,certain,
,,other
,other,
other,,
certain,certain,certain
certain,certain,certain
other,,
certain,certain,certain
certain,,
,certain,certain
certain,certain,certain
certain,certain,certain
,certain,certain
,certain,certain
certain,certain,certain
certain,,
certain,certain,certain
certain,certain,
,,certain
certain,,
certain,certain,certain
other,,
,other,
certain,certain,certain
certain,certain,certain
certain,certain,
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
other,,
other,,
other,,
other,,
certain,other,other
,,other
,,certain
certain,,
certain,,
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,other
certain,certain,certain
certain,certain,certain
,,certain
other,,
other,certain,certain
certain,certain,certain
certain,,
certain,certain,
,,certain
certain,,
certain,,
,certain,other
other,,
certain,certain,certain
,,certain
certain,certain,certain
certain,,
certain,certain,certain
certain,,
certain,,
,certain,certain
,certain,certain
,certain,certain
certain,,
certain,,
,certain,certain
certain,,
certain,certain,certain
,certain,certain
certain,,
certain,,
certain,certain,
certain,certain,
other,,
,certain,certain
certain,certain,certain
certain,certain,certain
,,certain
certain,certain,certain
certain,,
certain,certain,
,certain,certain
certain,,
certain,certain,certain
certain,certain,certain
other,,
,certain,
certain,,
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,,
,certain,other
certain,other,other
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
certain,certain,certain
other,other,other
